gene,bin,mean_log_expression,n_cells,pseudotime,pseudotime_percentile
Ascl1,1,0.16936694208562042,162,0.01925432388126813,0.024868705591597158
Ascl1,2,0.2052093974905528,162,0.026685505414211903,0.07491504479456287
Ascl1,3,0.2974753394957569,162,0.030248327380524125,0.12496138399752857
Ascl1,4,0.2093563017133439,162,0.03237981159677774,0.1750077232004943
Ascl1,5,0.3033481714713436,162,0.03402767319755097,0.22505406240346
Ascl1,6,0.3244920568492669,162,0.0353701057102389,0.2751004016064257
Ascl1,7,0.30444776463749673,162,0.036753305987732715,0.32514674080939143
Ascl1,8,0.25745590795152873,162,0.03808994455346751,0.37519308001235707
Ascl1,9,0.1985781845827585,162,0.03945964607924296,0.4252394192153228
Ascl1,10,0.2395109148883538,162,0.04062253166788311,0.4752857584182886
Ascl1,11,0.20499447751497699,162,0.041904029784093785,0.5253320976212543
Ascl1,12,0.27824831487685386,162,0.04325064504783762,0.57537843682422
Ascl1,13,0.17007065653579895,162,0.0446149140720162,0.6254247760271856
Ascl1,14,0.17691970131231663,162,0.046097590769548294,0.6754711152301514
Ascl1,15,0.11781935905293212,162,0.048112377991695335,0.7255174544331171
Ascl1,16,0.08963496404925322,162,0.050362086562700935,0.7755637936360829
Ascl1,17,0.2238389272357978,162,0.05444018506419347,0.8256101328390485
Ascl1,18,0.4486171455212296,162,0.07969186728089495,0.8756564720420141
Ascl1,19,0.16099496946341832,161,0.29242114103344313,0.9255483472350943
Ascl1,20,0.010485137494731775,161,0.6319420320172795,0.9752857584182886
Hes1,1,2.743328746071893,162,0.01925432388126813,0.024868705591597158
Hes1,2,2.709548411923468,162,0.026685505414211903,0.07491504479456287
Hes1,3,2.7588765158933692,162,0.030248327380524125,0.12496138399752857
Hes1,4,2.831847461350264,162,0.03237981159677774,0.1750077232004943
Hes1,5,2.747887796186636,162,0.03402767319755097,0.22505406240346
Hes1,6,2.867803673675986,162,0.0353701057102389,0.2751004016064257
Hes1,7,2.7948194361722667,162,0.036753305987732715,0.32514674080939143
Hes1,8,2.803649523368962,162,0.03808994455346751,0.37519308001235707
Hes1,9,2.8138545096077503,162,0.03945964607924296,0.4252394192153228
Hes1,10,2.6617701419099915,162,0.04062253166788311,0.4752857584182886
Hes1,11,2.6603811413632172,162,0.041904029784093785,0.5253320976212543
Hes1,12,2.7264639570359956,162,0.04325064504783762,0.57537843682422
Hes1,13,2.647612337024275,162,0.0446149140720162,0.6254247760271856
Hes1,14,2.6774506108843337,162,0.046097590769548294,0.6754711152301514
Hes1,15,2.4835343540620065,162,0.048112377991695335,0.7255174544331171
Hes1,16,2.530497712543508,162,0.050362086562700935,0.7755637936360829
Hes1,17,2.5327044561801557,162,0.05444018506419347,0.8256101328390485
Hes1,18,2.457707303809485,162,0.07969186728089495,0.8756564720420141
Hes1,19,1.1362144509407106,161,0.29242114103344313,0.9255483472350943
Hes1,20,0.06935620654334278,161,0.6319420320172795,0.9752857584182886
