gene,bin,mean_normalized_counts,fraction_detected,n_cells,pseudotime,pseudotime_percentile
Ascl1,1,0.24070729707057903,0.21212121212121213,33,0.008315008450185363,0.004942848316342292
Ascl1,2,0.13157397713707394,0.09090909090909091,33,0.016807143036938733,0.01513747296879827
Ascl1,3,0.26426278951153614,0.24242424242424243,33,0.019297837129523727,0.025332097621254247
Ascl1,4,0.27315432251825644,0.21212121212121213,33,0.021768773646141514,0.035526722273710225
Ascl1,5,0.6246663685045454,0.2727272727272727,33,0.02361197294719931,0.0457213469261662
Ascl1,6,0.22366402380401387,0.21212121212121213,33,0.024740094466878405,0.05591597157862218
Ascl1,7,0.614465840177933,0.24242424242424243,33,0.025723791030859876,0.06611059623107816
Ascl1,8,0.4587981381996656,0.3333333333333333,33,0.02678643583887934,0.07630522088353414
Ascl1,9,0.21158030691706983,0.15151515151515152,33,0.027783185702052772,0.08649984553599012
Ascl1,10,0.35607961925405,0.30303030303030304,33,0.02847643482365652,0.0966944701884461
Ascl1,11,0.591921924977439,0.42424242424242425,33,0.02925801560130067,0.10688909484090207
Ascl1,12,0.6104230436611409,0.5454545454545454,33,0.029784000153257863,0.11708371949335805
Ascl1,13,0.517828953439855,0.30303030303030304,33,0.030314556279739897,0.12727834414581402
Ascl1,14,0.4236250464380065,0.36363636363636365,33,0.03085266206950408,0.13747296879827
Ascl1,15,0.33380734197152073,0.30303030303030304,33,0.03132819929198454,0.14766759345072597
Ascl1,16,0.24542418734565652,0.2727272727272727,33,0.03177350391716678,0.15786221810318196
Ascl1,17,0.479259369794536,0.42424242424242425,33,0.032090589412770154,0.16805684275563793
Ascl1,18,0.32195316498931714,0.2727272727272727,33,0.03250010390148368,0.17825146740809392
Ascl1,19,0.3694404444837151,0.30303030303030304,33,0.032843447920107495,0.18844609206054988
Ascl1,20,0.43542485317342505,0.36363636363636365,33,0.033225476824060025,0.19864071671300587
Ascl1,21,0.40156288708536764,0.2727272727272727,33,0.03356329170299936,0.20883534136546184
Ascl1,22,0.4452277571110588,0.42424242424242425,33,0.033876821598699446,0.21902996601791783
Ascl1,23,0.5152338131152474,0.42424242424242425,33,0.0341749189417309,0.2292245906703738
Ascl1,24,0.8580311375115958,0.42424242424242425,33,0.03442976930895895,0.23941921532282978
Ascl1,25,0.3248711223684571,0.3333333333333333,33,0.03473031283637215,0.24961383997528575
Ascl1,26,0.735712558207174,0.5151515151515151,33,0.03503545453427557,0.2598084646277417
Ascl1,27,0.4067159869453718,0.3939393939393939,33,0.03528721856376664,0.27000308928019773
Ascl1,28,0.8716118702769163,0.45454545454545453,33,0.035495733450794986,0.2801977139326537
Ascl1,29,0.48027475313503093,0.3939393939393939,33,0.035795529951120134,0.29039233858510966
Ascl1,30,0.45255394765106055,0.45454545454545453,33,0.036018793107163986,0.3005869632375657
Ascl1,31,0.5936233148199291,0.45454545454545453,33,0.03632329342547735,0.31078158789002164
Ascl1,32,0.5879345371232395,0.48484848484848486,33,0.03665938250865137,0.3209762125424776
Ascl1,33,0.22093328417790054,0.2727272727272727,33,0.036920902919849195,0.33117083719493356
Ascl1,34,0.861215870009487,0.45454545454545453,33,0.037180712209986005,0.3413654618473896
Ascl1,35,0.5013575138234033,0.30303030303030304,33,0.03742229046436196,0.35156008649984555
Ascl1,36,0.4014870812570712,0.3939393939393939,33,0.03777211183988282,0.3617547111523015
Ascl1,37,0.5149081217997309,0.3939393939393939,33,0.038040795856697146,0.3719493358047575
Ascl1,38,0.3769107175501465,0.30303030303030304,33,0.03822622895731367,0.3821439604572135
Ascl1,39,0.339474156004271,0.34375,32,0.038491481515323514,0.39218412109978373
Ascl1,40,0.35638922107407395,0.25,32,0.038746929041181474,0.4020698177324683
Ascl1,41,0.41785215781795193,0.375,32,0.03897750836631303,0.4119555143651529
Ascl1,42,0.5425194198846806,0.40625,32,0.03936579148389517,0.42184121099783756
Ascl1,43,0.2443735692297972,0.25,32,0.03961982025406566,0.4317269076305221
Ascl1,44,0.06692691094130762,0.125,32,0.039864421079005924,0.4416126042632067
Ascl1,45,0.39929960555374383,0.3125,32,0.040142447114147106,0.45149830089589127
Ascl1,46,0.2159176144911636,0.28125,32,0.0403945227388844,0.46138399752857584
Ascl1,47,0.4977808181159887,0.34375,32,0.04054763486594743,0.4712696941612604
Ascl1,48,0.9250559461452099,0.46875,32,0.04082130643932847,0.481155390793945
Ascl1,49,0.23710244027045663,0.21875,32,0.041082345957333635,0.49104108742662955
Ascl1,50,0.2652537903730094,0.28125,32,0.0413755448524403,0.5009267840593141
Ascl1,51,0.4632738239270485,0.375,32,0.0416228075299233,0.5108124806919987
Ascl1,52,0.2878329012070323,0.28125,32,0.0417945740595377,0.5206981773246834
Ascl1,53,0.086278992316085365,0.125,32,0.04204021695776633,0.530583873957368
Ascl1,54,0.21920061023270515,0.25,32,0.042379110075272355,0.5404695705900525
Ascl1,55,0.8004960701467445,0.4375,32,0.04259262945331393,0.5503552672227371
Ascl1,56,0.5258399919743227,0.4375,32,0.042856389716281584,0.5602409638554218
Ascl1,57,0.2896850355730842,0.25,32,0.04308347652806578,0.5701266604881063
